amount,mean,min,max,std_deviation
100000,1.878411274915561,0.7945369281806052,5.328098047059029,1.4790773218396813
200000,3.3364046250004322,1.431022560223937,9.633617882151157,2.7269178337378093
300000,2.901517155021429,1.6741191879846156,8.532499285880476,1.900965125488423
400000,6.433873110124841,2.6910164020955563,16.70151309436187,4.736678722103467
500000,4.904841438727454,3.331656064838171,15.085562860127538,3.416666254077827
600000,11.398970671137794,4.003748743329197,21.012093572877347,6.824714782999393
700000,12.586948260245844,4.670244129840285,36.4696124647744,11.683064521461969
800000,11.741816246742383,4.346088946796954,29.48639617813751,9.935337776184726
900000,11.026426234701649,5.968645290937275,33.47787385620177,8.326747378188992
1000000,49.59745555263944,6.635104119777679,407.1439991891384,119.36761779195254
