amount,mean,min,max,std_deviation
2,1.7914004259742797,1.1895866971462965,4.9774469449184835,1.076818853691025
3,2.5925501817837358,0.6512698871083558,5.131666515022516,1.7387986516577512
4,1.1969332170207054,0.35828776378184557,5.085196794010699,1.6560638203378624
5,1.0127087062224747,0.3792007090523839,3.221743600908667,1.0009276611755578
6,1.0805566813331098,0.40747251408174634,4.310031458269805,1.3625584384208114
7,1.1574620409402996,0.5977935343980789,3.490490104071796,0.9670272793946901
8,1.7157082321122288,0.6166686229407787,4.92110198084265,1.4259268753211782
9,1.5151063320226967,0.6667321408167481,4.9230048870667815,1.2966532888163946
10,2.791099252272397,0.5013563558459282,8.222999462857842,2.878746390263263
