amount,mean,min,max,std_deviation
100000,0.3522716324776411,0.1784370169043541,0.9094656771048903,0.2399736582688535
200000,0.699468262726441,0.3378317686729133,1.846300925128162,0.5103023131296532
300000,0.6869892044458539,0.4281591968610883,1.9200772610493004,0.4151168684135638
400000,1.5460961292032152,0.669814552180469,3.4776649912819266,1.0396733735927794
500000,1.3025806132704019,0.841990611050278,4.462016933131963,1.0552141775809323
600000,2.954266138514504,1.1685107280500233,5.692984858062118,1.7334107621912322
700000,3.0895150118041785,1.370455380063504,7.84109767107293,2.6012835483328938
800000,3.2084372744429857,1.3802116280421615,8.645783272571862,2.6252624776888696
900000,2.9907500384375454,1.7610582513734698,8.569739392958581,2.2528715929840795
1000000,10.768533022515475,1.9630856071598828,83.73478652909398,24.35756266136618
