amount,mean,min,max,std_deviation
2,7.446802408108487,5.217321462929249,21.410854581277817,4.689305827985798
3,11.957029283046722,2.7037960812449455,24.473907166160643,8.402794527158308
4,5.644542015204206,1.4704620260745287,24.82025257218629,8.2104433660523
5,5.064068911829963,1.6576314610429108,16.898951744660735,5.368920541666446
6,5.733850122988224,1.8675242317840457,24.352666036225855,7.836384199546399
7,6.517762990947813,3.0611080727539957,20.73829648597166,5.934578715915058
8,10.692778125079348,3.3532896395772696,32.102912568021566,9.5110704511249
9,9.364756350964308,3.682153197005391,31.934113745111972,8.652308113493554
10,18.851532916212456,2.6100347680039704,57.95459217717871,20.496710572975196
