amount,mean,min,max,std_deviation
2,1847.6984375,1845.8984375,1849.8984375,1.4696938456699067
3,1846.0046875,1845.90625,1846.890625,0.29531250000000003
4,1843.9421875,1843.1484375,1846.1171875,1.0671726298378346
5,1862.649609375,1862.6484375,1862.66015625,0.003515625
6,1876.746875,1876.6484375,1877.6328125,0.29531250000000003
7,1894.19140625,1894.19140625,1894.19140625,0.0
8,1911.1875,1911.1875,1911.1875,0.0
9,1929.30859375,1929.30859375,1929.30859375,0.0
10,1951.078125,1951.078125,1951.078125,0.0
