amount,mean,min,max,std_deviation
2,0.33291042181663216,0.2512263348326087,0.8642743756063282,0.17842596864374174
3,0.47079171873629094,0.14911109302192926,0.9065644410438836,0.29045546906837805
4,0.24055465944111348,0.10276223719120026,0.8818213609047234,0.2710715591578531
5,0.2194658043794334,0.11458440404385328,0.586139727383852,0.16546659503275732
6,0.24605685686692597,0.12996803177520633,0.7988369991071522,0.23227972021661986
7,0.2663626946043223,0.17027082899585366,0.6702586333267391,0.16528012049849317
8,0.37949257963337,0.1865030750632286,0.9481868227012455,0.2507358731876557
9,0.35225980561226605,0.20183671824634075,0.9410653677769005,0.22385794409612259
10,0.584114012029022,0.18310526991263032,1.5347142782993615,0.5037748075809781
